,키워드,품사,textrank
0,연구,NNG,160.93383652331224
1,교수,NNG,142.503376606394
2,대학,NNG,75.91643003599071
3,학생,NNG,61.907608375317444
4,기술,NNG,61.266202105035035
5,개발,NNG,56.67975489965817
6,이번,NNG,52.91656368246423
7,환경,NNG,51.793353043929464
8,과학,NNG,50.46257942638714
9,분야,NNG,46.83987239418455
10,팀,NNG,42.58049303070512
11,공학,NNG,40.87428449848024
12,지역,NNG,40.53910770580279
13,사업,NNG,40.2427177134486
14,교육,NNG,38.68567634142646
15,한국,NNP,38.59864652953719
16,진행,NNG,38.305802585638574
17,대학교,NNG,34.63974609809771
18,지원,NNG,34.21930746395867
19,센터,NNG,33.53323798994458
20,기후,NNG,33.14115491481158
21,세계,NNG,32.462608743938674
22,산업,NNG,31.459207783048793
23,참여,NNG,30.150100550030288
24,활용,NNG,30.08213989241723
25,논문,NNG,29.533276158999072
26,변화,NNG,28.968196176020907
27,과정,NNG,26.784337752499866
28,말,NNG,26.191160386551005
29,관련,NNG,25.943497103652824
